tweet_id,tweet,tweet_fake_or_real,tweet_posted_date,user_name,likes
f07a5a85-9d41-4b3c-9e8c-d06fc553a9bb,Identify threat service remain attention high charge husband away always whom. election,TRUE,22-10-2023 16:55,kevin43,671
98aad510-5e8c-4665-ae9b-eb82f1886075,Positive fish final why another participant clear both. tax,TRUE,13-12-2019 23:01,maybobby,656
d15480e0-492a-4ff6-b6cb-6f5e380a328e,According surface smile sit government really mouth. education,FALSE,14-11-2020 23:15,benjamin71,312
ec0b014b-f923-4afb-a0ec-112033d8a143,Apply away her move race key sort cover yeah third raise material citizen. protest,FALSE,02-08-2019 13:48,marksutton,541
29e09b90-52c3-448a-9abf-5d803806f559,Level account him choose development between spend involve successful ability. protest,TRUE,09-07-2023 05:25,zcombs,133
1fd2c45e-eec3-4c0e-8c80-9105bb2659b0,Take have price century Congress positive sign collection none time couple. policy,FALSE,21-10-2019 17:24,denise60,575
e442799a-59b7-4523-bdfc-9db80d4cc47a,Build trade sea talk down stay science write money. president,FALSE,08-08-2021 08:09,jill58,98
cd67853a-ac52-4040-a727-d276411aac32,Town activity animal near better mind cut order. democracy,TRUE,31-01-2021 17:40,valerie79,309
8fa00710-027b-424a-b505-7f6e97d1f4ed,Challenge soldier born rock show husband key though despite night generation realize control book. climate change,TRUE,15-09-2019 11:25,dtorres,823
54e26073-529d-4f6c-86d4-2d9fbc110c98,Individual technology kid assume share film ever young body. senate,FALSE,21-06-2020 21:56,thomasjones,753
bb87f0f2-7e9e-44f1-ae88-7f583d52d6bd,Which often peace anything travel realize whom. policy,TRUE,23-10-2020 01:06,hwilliams,927
5ad5414c-c907-4b12-918a-efb1db051893,Sit wrong little responsibility loss least officer place fire herself yourself. government,FALSE,24-10-2023 01:38,briannastewart,687
0f83c218-721e-4b35-b81f-4cc2bec9ce75,Argue somebody attention through single care. tax,TRUE,04-12-2020 06:58,connerdenise,571
4d0e47e2-b9eb-4945-9c16-8613adc08ef3,Service physical main computer hour second ask shoulder star large. tax,TRUE,13-10-2023 11:50,lutzanita,115
7b5f338c-cf7c-4eb4-a81c-5760b097e6f2,Today professional close point several people term attention huge nearly miss. foreign policy,TRUE,23-06-2019 12:51,wcox,847
ba8a686f-c5f0-44c9-8380-1c725f59b700,Beyond fall eat throughout serve serve gas they black. tax,TRUE,12-08-2023 17:43,nathan89,660
1facee77-f882-419b-bd9a-a6db6abe6044,Month parent anything wonder third everyone management to mind here rule. policy,FALSE,31-03-2020 22:07,eric93,481
98c4cb1b-8c92-4e67-b689-4e2dcd76ca30,Three reveal past hair sit ball run candidate customer. rally,FALSE,06-08-2022 23:56,nicholsbrenda,846
02eb4567-007c-4b29-b0bc-e383da028692,Create mission Mr middle same everybody test hundred feel building. election,TRUE,15-11-2021 14:19,campbellcharles,535
e06c45cc-007f-4df6-a406-866ed76f7b72,Writer debate herself deal strategy behind boy. rally,FALSE,08-11-2020 04:09,ssanchez,830
b1f21907-acbb-4a29-a04b-03ec56f728fc,Plant speak yes environment value health kitchen condition next attention coach rule environment. foreign policy,FALSE,06-04-2023 17:39,tiffanywalker,692
4071dd54-f165-436d-8224-a53031b2ec9b,Yeah early their health choose growth order mind instead start key edge. healthcare,TRUE,26-03-2020 22:52,joshuamorgan,455
f2e01d01-4b8c-412e-a0e5-db6b76b0597f,West box where left it game fall. education,TRUE,11-06-2021 04:57,cellis,146
66bd8b9a-b0ac-4e27-8bad-9edccbeb628c,Oil government draw indeed school writer measure rule. economy,FALSE,15-06-2021 00:34,millerpatrick,546
bbc4471a-ec3b-48ec-a994-7680980f9ffb,To weight these deep memory authority. democracy,FALSE,10-01-2019 18:40,jaredtucker,361
c1348e1c-95e7-4edd-87c6-d29ce5599ebd,Local seem choose cost somebody region apply. climate change,TRUE,28-04-2020 21:07,zvincent,198
ae60424b-67ce-4037-9a25-a34c8b2056c3,Organization base offer will still like entire size decide. education,FALSE,03-10-2020 10:49,lisa55,15
9192259b-85fa-46bd-8e42-20d2a8b0da8e,View these food increase of usually draw herself amount find exist whether. democracy,TRUE,13-09-2022 00:22,thomasjon,596
2a1c9a30-a22d-4562-bda3-55abe8e5f5bd,Black arm customer education during later season check join ahead. campaign,TRUE,20-01-2019 12:18,shannonjimenez,128
8f93992c-8742-46d2-be36-50d91d63f255,One war just too understand during less foot. rally,TRUE,16-11-2019 01:11,christopher77,779
28c2e418-7919-401f-92f3-b15881c866bc,Nature lawyer price force return reason. government,TRUE,11-09-2021 15:58,mcdanieljoseph,134
f950788f-331b-4cd0-8239-0f9f80452def,Affect imagine catch serious too something lot charge then choice cup choose mouth. president,FALSE,24-02-2022 07:29,jennifer40,975
11d6a093-3b9b-4018-b341-0923c9a525f9,Increase speak company light trip team no product rest old. foreign policy,TRUE,26-06-2021 03:13,michaelrivera,405
ab2df450-7d5c-4103-86e9-f3a37801080f,Lead fly majority be thank age team information. government,TRUE,25-11-2020 08:13,john05,387
10fb2fa0-7c97-4746-b4ca-983518952d6a,Look population down town actually at spring. healthcare,FALSE,15-12-2023 15:33,qjohnson,1000
c61f8b61-20c8-41c4-bb0d-22966c6baa3d,Chair success five language arrive now own author. protest,TRUE,24-09-2022 23:43,plucas,915
28efc41c-219a-4c3b-b5bd-187caea50789,Provide hair mother soldier section deep computer resource toward. tax,TRUE,21-07-2022 03:40,trevorhuff,8
d56eefd4-c802-4c73-aeab-0b800de15e93,Pm sell successful model minute score support together fight civil. vote,FALSE,26-11-2023 10:48,jasmine43,218
fcf507af-2805-409d-a651-3ce74875ea40,Parent someone leave audience though play. foreign policy,FALSE,06-12-2022 16:50,fbutler,656
a646a2ee-5e4f-496a-9a42-7ca2f61ac443,Key large floor my official the level a attention particular picture like through. campaign,FALSE,23-03-2021 10:16,ucook,410
b9e620df-5a3c-478d-9488-f042cb0b642a,Civil offer blue get understand specific parent arrive health increase sell. tax,FALSE,15-07-2021 18:28,zgreer,576
2f45095d-1188-43ed-9e65-10bb3ece6cae,Learn go organization including apply young technology vote case summer response nearly. tax,TRUE,14-04-2023 19:11,rmorgan,160
f31370ce-2b1f-4dfb-9f5f-abc46eec94ed,Total science five head cup five his sort officer step show. protest,TRUE,09-01-2023 19:40,vluna,250
d16bc77c-0e8d-4ff9-8866-7569335bed71,Discuss cup much onto door herself majority last red. government,TRUE,27-03-2019 02:20,vincentdougherty,763
1c1f85a1-960f-4c37-aa9f-be56481f3bfb,Production guess animal wait where responsibility positive democratic from ground speak. protest,TRUE,01-04-2019 18:54,jesus47,494
2745e6ee-251a-41ec-877c-2e35a686b9b2,Experience far beautiful hope design nearly address education. healthcare,TRUE,06-09-2023 14:01,heather63,805
974def1f-5739-459a-bbd9-3181714e5870,Glass argue call few entire finish wife. democracy,FALSE,28-04-2019 08:10,larsonjohn,484
d3a3e0ce-6deb-4b59-9efc-33a31111a3d7,Car hospital argue customer return build no within. democracy,FALSE,17-02-2022 02:29,brittany93,792
8b0cacc9-7f94-4d46-815f-2dcb7702eb53,Coach fund kid line indeed word. immigration,TRUE,12-09-2020 21:32,npollard,110
b124671a-c60c-492e-9574-d38fba1ee8e8,Ready have final ten lose everything sense. economy,TRUE,12-03-2021 19:03,jennifermeyers,253
